"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C2,C4,C7,C9";"C_0603";5;"1uF";;;
2;"C3,C6";"C_0603";2;"10nF";;;
3;"C10";"C_0603";1;"10u";;;
4;"C11";"C_0603";1;"100nF";;;
5;"C12,C13,C14";"C_0603";3;"100n";;;
6;"D1";"Diode_DO-35_SOD27_Horizontal_RM10";1;"Z 5.7V";;;
7;"D2,D3";"LED_0603";2;"LED";;;
8;"P1,P5";"Pin_Header_Straight_1x02";2;"CONN_01X02";;;
9;"P3";"Pin_Header_Straight_2x03";1;"PDI";;;
10;"P4";"4-pin-50mil";1;"CONN_01X04";;;
11;"P6";"Pin_Header_Straight_1x10";1;"nRF8001 CON";;;
12;"R1,R3";"R_0603";2;"47k";;;
13;"R4";"R_0603";1;"10K";;;
14;"R5,R6";"R_0603";2;"220";;;
15;"SD1";"uSD_5027_normal";1;"uSD";;;
16;"SW1";"5mm-smd-button";1;"SW_PUSH";;;
17;"U2";"SC-70-5";1;"TPS71733";;;
18;"U3";"SC-70-5";1;"TPS71727";;;
19;"U4";"ADXL335";1;"ADXL335";;;
20;"IC1";"TQFP-44_10x10mm_Pitch0.8mm";1;"ATXMEGA128A4U-A";;;
21;"P2";"2x2-pin-50mil";1;"CONN_02X02";;;
22;",";"1pin-mod";2;"1pin";;;
