"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C14,C9,C10,C17,C58";"C_0603";5;"10uF";;;
2;"U7";"HDC1050";1;"HDC1050";;;
3;"C34";"C_0603";1;"1.5n";;;
4;"R25";"R_0603";1;"100K";;;
5;"R19,R22,R5,R12,R13,R14,R15,R16,R17,R23,R24,R26";"R_0603";12;"10K";;;
6;"P4";"Pin_Header_Straight_2x05";1;"PORT B";;;
7;"C16,C2,C5,C13,C33";"C_0603";5;"10nF";;;
8;"C37,C22,C23,C32,C35,C36,C38,C39,C40,C41,C42,C43,C44,C45,C46,C56,C57";"C_0603";17;"100n";;;
9;"P6";"Pin_Header_Straight_2x05";1;"PORT D";;;
10;"U3,U1";"TO-92_Molded_Narrow_Oval";2;"LM35";;;
11;"X1";"Crystal_HC49-U_Vertical";1;"4.096MHz";;;
12;"IC1";"TQFP-100_14x14mm_Pitch0.5mm";1;"ATXMEGA128A1U-A";;;
13;"C1,C3,C4,C6,C7,C8,C15";"C_0603";7;"1uF";;;
14;"C11,C12,C20";"C_0603";3;"10u";;;
15;"C18,C19";"C_0603";2;"22p";;;
16;"C21";"C_0603";1;"1u";;;
17;"C24,C25";"C_0603";2;"100nF";;;
18;"C26,C27,C28,C29,C30,C31";"C_0603";6;"Xn";;;
19;"D2,D3,D4,D5";"LED_0603";4;"LED";;;
20;"P1";"Pin_Header_Straight_2x02";1;"CONN_02X02";;;
21;"P3";"Pin_Header_Straight_2x03";1;"PDI";;;
22;"P5";"Pin_Header_Straight_2x05";1;"PORT J";;;
23;"P8";"Pin_Header_Straight_1x10";1;"nRF8001 CON";;;
24;"R1,R2,R33";"R_0603";3;"47k";;;
25;"R3,R4";"R_0603";2;"15k";;;
26;"R7";"R_0603";1;"8k2";;;
27;"R8,R9,R10,R11";"R_0603";4;"220";;;
28;"R18,R20,R21,R39";"R_0603";4;"1M";;;
29;"U2";"SC-70-5";1;"TPS71727";;;
30;"U4";"SC-70-5";1;"TPS71733";;;
31;"U8";"OPT3001";1;"OPT3001";;;
32;"VR1";"Pin_Header_Straight_1x03";1;"100k";;;
33;"R6";"Pin_Header_Straight_1x02";1;"LDR";;;
34;"SD1";"uSD_5027_normal";1;"uSD";;;
35;"P9,P10,P11";"J2-connector";3;"MIC-CON-MONO";;;
36;"P12,P13,P14,P16,P2";"Pin_Header_Straight_1x02";5;"CONN_01X02";;;
37;"SW1";"5mm-smd-button";1;"SW_PUSH";;;
38;"SW2";"4.5mm-dip-button";1;"SW_PUSH";;;
39;"C47,C48,C49";"C_0603";3;"3u3";;;
40;"C50";"C_0603";1;"16pF";;;
41;"C51,C54";"C_0603";2;"2u2F";;;
42;"C52,C53";"C_0603";2;"1u5F";;;
43;"D6";"Diode_DO-35_SOD27_Horizontal_RM10";1;"D_Schottky";;;
44;"D7,D8";"Diode_DO-41_SOD81_Vertical_AnodeUp";2;"D_Schottky";;;
45;"R27";"R_0603";1;"120k";;;
46;"R28,R29,R30,R32,R36";"R_0603";5;"100k";;;
47;"R31";"R_0603";1;"12k";;;
48;"R34";"R_0603";1;"180k";;;
49;"R35,R38";"R_0603";2;"10k";;;
50;"R37";"R_0603";1;"22k";;;
51;"U9";"DBV-PDSO-G6";1;"LM2665";;;
52;"U10";"SOIC8-PDSO_G8";1;"opa2333";;;
53;"FB1,FB2";"R_1206";2;"FILTER";;;
54;"U5";"ADXL335_correto";1;"ADXL335";;;
55;"U6";"ADS1293-correto";1;"ADS1293";;;
56;"MK1";"Eletret-mic-6x5";1;"Electret-mic";;;
57;"P15";"Pin_Header_Angled_1x02";1;"CONN_01X02";;;
58;"D1";"Diode_DO-41_SOD81_Vertical_KathodeUp";1;"Z 5.7V";;;
59;"C55";"c_elec_6.3x7.7";1;"47uF";;;
60;"X2";"CRISTAL_16Mhz";1;"CRISTAL_16MHz";;;
