"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C3,C4,C6,C7,C8";"C_0603";6;"1uF";;;
2;"C2,C5,C11,C30";"C_0603";4;"10nF";;;
3;"C9,C10,C17";"C_0603";3;"10u";;;
4;"C12";"C_0603";1;"10uF";;;
5;"C15,C16";"C_0603";2;"22p";;;
6;"C18";"C_0603";1;"1u";;;
7;"C19,C20,C29,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41";"C_0603";13;"100n";;;
8;"C21,C22";"C_0603";2;"100nF";;;
9;"C23,C24,C25,C26,C27,C28";"C_0603";6;"Xn";;;
10;"C31";"C_0603";1;"1.5n";;;
11;"D1";"Diode_DO-35_SOD27_Horizontal_RM10";1;"Z 5.7V";;;
12;"D2,D3";"LED_0603";2;"LED";;;
13;"FB1,FB2";"R_0805";2;"FILTER";;;
14;"IC1";"TQFP-100_14x14mm_Pitch0.5mm";1;"ATXMEGA128A1U-A";;;
15;"P1";"Connector_Molex_PicoBlade_53048-0210";1;"CONN_01X02";;;
16;"P2";"Pin_Header_Straight_2x02";1;"CONN_02X02";;;
17;"P3";"Pin_Header_Straight_2x03";1;"PDI";;;
18;"P4,P5";"5-pin-50mil";2;"Acelerometro";;;
19;"P6,P7,P8,P9";"Pin_Header_Straight_1x02";4;"CONN_01X02";;;
20;"P10";"Pin_Header_Straight_1x10";1;"nRF8001 CON";;;
21;"P11,P12,P13";"J2-connector";3;"MIC-CON-MONO";;;
22;"P14";"4-pin-50mil";1;"CONN_01X04";;;
23;"R1,R2";"R_0603";2;"47k";;;
24;"R3,R6,R7,R8,R9,R10,R11";"R_0603";7;"10K";;;
25;"R4,R5";"R_0603";2;"220";;;
26;"R12,R13,R14";"R_0603";3;"1M";;;
27;"R15";"R_0603";1;"100K";;;
28;"SD1";"uSD_5027_normal";1;"uSD";;;
29;"SW1";"5mm-smd-button";1;"SW_PUSH";;;
30;"U1";"SC-70-5";1;"TPS71727";;;
31;"U2";"SC-70-5";1;"TPS71733";;;
32;"U3";"ADXL335";1;"ADXL335";;;
33;"U4";"ADS1293";1;"ADS1293";;;
34;"X1";"Crystal_HC49-U_Vertical";1;"4.096MHz";;;
35;",,,";"1pin-mod";4;"1pin";;;
